,title,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
880,01 How Deep Is Your Love-,seqRecur+,0.6350391330523782,0.6967895362663499,0.664482802066272,0.6350391330523782,0.6967895362663499,0.664482802066272,0.2,0.3333333333333333,0.25
881,02 Once in a life time,seqRecur+,0.8335164835164833,0.9546026609133406,0.8899597720415687,0.8335164835164833,0.9546026609133406,0.8899597720415687,0.6,1.0,0.7499999999999999
882,03 Doing That Thing,seqRecur+,1.0,0.8588435374149661,0.9240622140896616,1.0,0.8588435374149661,0.9240622140896616,1.0,1.0,1.0
883,04 Someday,seqRecur+,0.8680761838196749,0.8780487804878048,0.873034004041824,0.8680761838196749,0.8780487804878048,0.873034004041824,0.25,0.3333333333333333,0.28571428571428575
884,05 Waiting for the moment,seqRecur+,0.9352026390197925,0.6753445635528328,0.7843098508052561,0.9352026390197925,0.6753445635528328,0.7843098508052561,0.0,0.0,0.0
885,06 Angel Baby,seqRecur+,0.9511840767107366,0.6819791666666668,0.7943942243523632,0.9511840767107366,0.6819791666666668,0.7943942243523632,0.3333333333333333,0.3333333333333333,0.3333333333333333
886,07 I think of you,seqRecur+,0.9930984000836555,0.9310784313725488,0.9610889035065524,0.9930984000836555,0.9310784313725488,0.9610889035065524,1.0,1.0,1.0
887,08 Woman Like You,seqRecur+,0.9291874716295963,0.697999545351216,0.7971701174790679,0.9291874716295963,0.697999545351216,0.7971701174790679,0.0,0.0,0.0
888,09 Life Is What You Make It To Be,seqRecur+,0.8622267813461689,0.8685319132024482,0.865367862516829,0.8622267813461689,0.8685319132024482,0.865367862516829,0.4,0.4,0.4000000000000001
889,10 Don't Say Good bye,seqRecur+,0.8637220012560185,0.8684487476320776,0.86607892527288,0.8637220012560185,0.8684487476320776,0.86607892527288,0.0,0.0,0.0
890,01 Change Of Heart,seqRecur+,0.9439011837364898,0.9320684397763848,0.9379474940334126,0.9439011837364898,0.9320684397763848,0.9379474940334126,0.6666666666666666,0.6666666666666666,0.6666666666666666
891,02 I'll be there for you,seqRecur+,0.9976375295308808,0.9853333333333332,0.9914472580915645,0.9976375295308808,0.9853333333333332,0.9914472580915645,1.0,1.0,1.0
